search_term,video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
Super Bowl,/watch?v=KDorKy-13ak&list=RDKDorKy-13ak&start_radio=1&pp=ygUKU3VwZXIgQm93bKAHAQ%3D%3D,/@NFL,NFL,Kendrick Lamar's Apple Music Super Bowl Halftime Show,157M,11 months,Watch hip-hop's MVP put on an epic performance at the Apple Music Super Bowl LIX Halftime Show. Enjoy one free month of ...,2026-01-22 05:22:12.826843
Super Bowl,/watch?v=gdsUKphmB3Y&list=RDgdsUKphmB3Y&start_radio=1&pp=ygUKU3VwZXIgQm93bKAHAQ%3D%3D,/@NFL,NFL,"Dr. Dre, Snoop Dogg, Eminem, Mary J. Blige, Kendrick Lamar & 50 Cent FULL Pepsi SB LVI Halftime Show",378M,3 years,Check out our other channels: NFL Mundo https://www.youtube.com/mundonfl NFL Brasil ...,2026-01-22 05:22:12.828274
Super Bowl,/watch?v=-rOmWIERvzo&pp=ygUKU3VwZXIgQm93bA%3D%3D,/@NFL,NFL,Kansas City Chiefs vs. Philadelphia Eagles | Super Bowl LIX Game Highlights,12M,11 months,"Watch live local and primetime games, NFL RedZone, and NFL Network on Plus.NFL.com Check out our other channels: NFL ...",2026-01-22 05:22:12.830093
Super Bowl,/shorts/DafAg8yKr_E,/@OfficialPrimeTrust,PrimeTrust,When Was The Last Time Your Team Won A Super Bowl? #nfl #shorts,3M,3 years,When Was The Last Time Your Team Won A Super Bowl? #shorts #nfl #afc #football #footballshorts #nfc #baltimoreravens ...,2026-01-22 05:22:12.831361
Super Bowl,/watch?v=HjBo--1n8lI&list=RDHjBo--1n8lI&start_radio=1&pp=ygUKU3VwZXIgQm93bKAHAQ%3D%3D,/@NFL,NFL,Rihanna’s FULL Apple Music Super Bowl LVII Halftime Show,294M,2 years,Listen to Rihanna's iconic hits in Spatial Audio on Apple Music: http://apple.co/RihannaSpatialYT *Subscription required.,2026-01-22 05:22:12.832556
Super Bowl,/shorts/-amdxJgv-E0,/@TheLineupCast,TheLineup,Why Sam Darnold and the Seahawks can win a Super Bowl… 🏈 #shorts,7.6K,15 hours,Can Sam Darnold and the Seahawks win this weekend's Rams VS Seahawks matchup and take down Matthew Stafford and the ...,2026-01-22 05:22:12.834062
Super Bowl,/watch?v=noLK78Hgq0A&pp=ygUKU3VwZXIgQm93bA%3D%3D,/@NFL,NFL,Super Bowl 51 FULL GAME: New England Patriots vs. Atlanta Falcons,11M,5 years,NFL Game Pass is free through May! Click here for more full games! - nfl.com/gamepass Subscribe to NFL: http://j.mp/1L0bVBu ...,2026-01-22 05:22:12.835772
Super Bowl,/watch?v=iNv1uVoDEgs&list=RDiNv1uVoDEgs&start_radio=1&pp=ygUKU3VwZXIgQm93bKAHAQ%3D%3D,/@BlackMarketLatin,Black Market Latin,"Dr  Dre, Snoop Dogg, Eminem, Mary J  Blige & Kendrick Lamar FULL Pepsi Super Bowl LVI Halftime Show",22M,3 years,"pepsi #superbowl56 #superbowl56Halftimeshow ""El LLamada"" Pepsi presenta The Super Bowl 56 Half Time TRAILER OFICIAL ...",2026-01-22 05:22:12.837616
Super Bowl,/watch?v=016LXFHpFCk&pp=ygUKU3VwZXIgQm93bNIHCQmHCgGHKiGM7w%3D%3D,/@NFL,NFL,New England Patriots vs. Atlanta Falcons | Super Bowl LI Game Highlights | The 28-3 Comeback,21M,8 years,"The New England Patriots rallied from down 28 points and put together one of the best comebacks ever in a Super Bowl, knocking ...",2026-01-22 05:22:12.839246
Super Bowl,/watch?v=4x4MND-Rhrc&pp=ygUKU3VwZXIgQm93bA%3D%3D,/@NFL,NFL,Rams vs. Bengals | Super Bowl LVI Game Highlights,11M,3 years,The Los Angeles Rams take on the Cincinnati Bengals during Super Bowl LVI in Los Angeles. Check out our other channels: NFL ...,2026-01-22 05:22:12.840738
Super Bowl,/watch?v=_a5IRM5Vi_A&list=RD_a5IRM5Vi_A&start_radio=1&pp=ygUKU3VwZXIgQm93bKAHAQ%3D%3D,/channel/UClW4jraMKz6Qj69lJf-tODA,YoungBoy Never Broke Again,NBA YoungBoy - SuperBowl,13M,3 years,I'm stalling into the album (get ready) I'm gone keep dropping.,2026-01-22 05:22:12.842064
Super Bowl,/watch?v=qMmcIR9maQs&pp=ygUKU3VwZXIgQm93bA%3D%3D,/@NFL,NFL,"Super Bowl XXVII: ""The Start of a Dynasty"" | Dallas Cowboys vs. Buffalo Bills | NFL Full Game",4.8M,9 years,"In honor of Super Tuesday the NFL presents, the Dallas Cowboys dominating the Buffalo Bills in Super Bowl 27! 00:00 - Start 5:11 ...",2026-01-22 05:22:12.843949
Super Bowl,/shorts/UXdz-ma_XxA,/@tylertntt,Tylertsports,Who Wins Super Bowl LX? #nfl #nfltrending #nflviral #nflfootball #superbowl,8.6K,1 hour,,2026-01-22 05:22:12.845216
Super Bowl,/watch?v=ukmu4DPgtOo&pp=ygUKU3VwZXIgQm93bA%3D%3D,/@NFL,NFL,Super Bowl 50 - Panthers vs. Broncos | NFL Full Game,9.9M,9 years,"In honor of the 2016 NFL season beginning on Thursday, relive last season's final game! 00:00 Start 21:56 Von Miller Strip Sacks ...",2026-01-22 05:22:12.847059
Super Bowl,/watch?v=5o1svOBd6Qk&pp=ygUKU3VwZXIgQm93bA%3D%3D,/@SportsStatss,Sports Stats,All NFL Super Bowl Winners,777K,11 months,All NFL Super Bowl Winners,2026-01-22 05:22:12.848366
Super Bowl,/watch?v=5GEtlF6Zftg&pp=ygUKU3VwZXIgQm93bA%3D%3D,/@NFL,NFL,Super Bowl XLIII: Pittsburgh Steelers vs. Arizona Cardinals | NFL Full Game,7.9M,9 years,"In honor of Super Tuesday the NFL presents, Super Bowl 43 between the Pittsburgh Steelers & Arizona Cardinals! 00:00 - Start ...",2026-01-22 05:22:12.850236
Super Bowl,/shorts/kc2uEwsnRJ0,/@touchdownrewind,Touchdown Rewind,What a Super Bowl would mean for each Remaining NFL Team: #nfl,9.5K,12 hours,"The 2025-2026 NFL playoffs are down to their final four teams: the Denver Broncos, New England Patriots, Seattle Seahawks, ...",2026-01-22 05:22:12.851411
Super Bowl,/watch?v=m7B4JZAiG6c&pp=ygUKU3VwZXIgQm93bA%3D%3D,/@NFL,NFL,"Super Bowl XXIII: ""Montana & Rice's Legendary Performance"" | Bengals vs. 49ers | NFL Full Game",2.3M,9 years,In honor of Free Game Friday the NFL presents Super Bowl 23 between the Cincinnati Bengals & San Francisco 49ers! 00:00 ...,2026-01-22 05:22:12.853172
Super Bowl,/shorts/JMkidFCzYPA,/@fiscooemo,Fiscoos elevated music opinions ,TOP 10 Superbowl Halftime shows #superbowl #halftimeshow #top10 #performance #review,927K,1 year,,2026-01-22 05:22:12.854315
Super Bowl,/shorts/ss1yKtwdN9s,/@D1Kuumo,D1 Kuumo,Chiefs Are Winning the Super Bowl?☠️☠️ #nfl #shorts,1.1M,4 months,patrickmahomes #lamarjackson.,2026-01-22 05:22:19.517456
Super Bowl,/watch?v=Gz5-NQROQGw&pp=ygUKU3VwZXIgQm93bA%3D%3D,/@NFL,NFL,Chiefs vs. Buccaneers | Super Bowl LV Game Highlights,14M,4 years,The Kansas City Chiefs take on the Tampa Bay Buccaneers during Super Bowl LV in Tampa Bay. Subscribe to NFL: ...,2026-01-22 05:22:19.519378
Super Bowl,/shorts/-qE0JkLxW7o,/@Inspiredbytouchdowns,Inspiredbytouchdowns,Tom Brady On Super Bowl Comeback 😳 #shorts #nfl,6.7M,4 months,,2026-01-22 05:22:19.520445
Super Bowl,/watch?v=UrOzwTlD2_w&pp=ygUKU3VwZXIgQm93bA%3D%3D,/@NFL,NFL,Kansas City Chiefs vs. Philadelphia Eagles Super Bowl LVII FULL GAME | Super Bowl NFL 2022 Season,2.7M,11 months,"Watch live local and primetime games, NFL RedZone, and NFL Network on Plus.NFL.com Check out our other channels: NFL ...",2026-01-22 05:22:19.521541
Super Bowl,/watch?v=nQ6I2PdpzJI&pp=ygUKU3VwZXIgQm93bA%3D%3D,/@NFL,NFL,San Francisco 49ers vs. Kansas City Chiefs Super Bowl LVIII FULL GAME | Super Bowl NFL 2023 Season,657K,11 months,"Watch live local and primetime games, NFL RedZone, and NFL Network on Plus.NFL.com Check out our other channels: NFL ...",2026-01-22 05:22:19.522888
Super Bowl,/watch?v=FyLPJ5JWZYk&pp=ygUKU3VwZXIgQm93bA%3D%3D,/@NFLFilms,NFL Films,Patriots Unbelievable Comeback in Super Bowl LI to Beat the Falcons | NFL Turning Point,9.8M,8 years,Tom Brady leads the New England Patriots to the greatest comeback in Super Bowl history Subscribe to NFL Films: ...,2026-01-22 05:22:19.524615
Super Bowl,/watch?v=0FF_DbJ3G68&pp=ygUKU3VwZXIgQm93bA%3D%3D,/@NFL,NFL,Super Bowl 52 FULL Game: New England Patriots vs. Philadelphia Eagles,11M,5 years,NFL Game Pass is free through May! Click here for more full games! - nfl.com/gamepass Subscribe to NFL: http://j.mp/1L0bVBu ...,2026-01-22 05:22:19.526270
Super Bowl,/watch?v=SDPITj1wlkg&list=RDSDPITj1wlkg&start_radio=1&pp=ygUKU3VwZXIgQm93bKAHAQ%3D%3D,/@NFL,NFL,Beyoncé & Bruno Mars Crash the Pepsi Super Bowl 50 Halftime Show | NFL,206M,9 years,Beyoncé and Bruno Mars join Coldplay and have a dance-off during the Super Bowl 50 Halftime Show. Subscribe to the NFL ...,2026-01-22 05:22:19.527549
Super Bowl,/shorts/eJyaQmFXbTs,/@BergesProd,Berges Productions,Eagles DOMINATED the Chiefs in the Super Bowl 😭🔥 #shorts,625K,11 months,Super Bowl SZN https://www.youtube.com/channel/UCZO6X76wYi1IhONG0kaHH1Q/join Second Page: ​⁠ @BergesLive ...,2026-01-22 05:22:19.528802
Super Bowl,/watch?v=A2Z7g1q3JwQ&pp=ygUKU3VwZXIgQm93bA%3D%3D,/@NFL,NFL,Super Bowl XLVIII: Seahawks First Super Bowl Win | Seahawks vs. Broncos | NFL Full Game,9.6M,9 years,"In honor of Super Tuesday relive the Seattle Seahawks first Super Bowl victory! 0:00 - Start 2:15 - Broncos mishandle snap, ...",2026-01-22 05:22:19.530573
Super Bowl,/watch?v=suIg9kTGBVI&list=RDsuIg9kTGBVI&start_radio=1&pp=ygUKU3VwZXIgQm93bKAHAQ%3D%3D,/@TheVideoSelection,TheVideoSelection,Beyoncé - Super Bowl 2013 Halftime Show HD 1080p,21M,9 years,Set list: Run the World (Girls) (Intro)/Love on Top/Crazy In Love/End of Time/Baby Boy/Bootylicious (Destiny's Child)/Independent ...,2026-01-22 05:22:19.531753
Super Bowl,/watch?v=arcwCWZBY8Q&pp=ygUKU3VwZXIgQm93bNIHCQmHCgGHKiGM7w%3D%3D,/@NFL,NFL,Tom Brady's SEVENTH Super Bowl Win | Kansas City Chiefs vs Tampa Bay Buccaneers FULL GAME | NFL 2020,1.1M,1 year,"With NFL+, catch all the action and stream live local and primetime games on mobile devices all the way from the regular season ...",2026-01-22 05:22:19.533103
Super Bowl,/watch?v=qW1xbhW2PEE&pp=ygUKU3VwZXIgQm93bNIHCQmHCgGHKiGM7w%3D%3D,/@NFL,NFL,Eagles vs. Patriots | Super Bowl LII Game Highlights,16M,7 years,The Philadelphia Eagles defeat the New England Patriots during Super Bowl LII. Watch full games with NFL Game Pass: ...,2026-01-22 05:22:19.534502
Super Bowl,/shorts/jK65IHRkyLY,/@RapRender,Rap Render,Kendrick Brought Mustard on Super Bowl Stage 🤯,1.3M,11 months,"Credits Artists / People: Kendrick Lamar, Mustard Sources: NFL, Kendrick Lamar, Super Bowl We respect copyright laws ...",2026-01-22 05:22:19.535758
Super Bowl,/shorts/GI7tTsYV_Mo,/@BergesProd,Berges Productions,Always two sides to the Super Bowl 😕 #shorts,523K,11 months,Super Bowl SZN https://www.youtube.com/channel/UCZO6X76wYi1IhONG0kaHH1Q/join Second Page: @BergesLive ...,2026-01-22 05:22:19.537022
Super Bowl,/watch?v=UVV80kTudSM&pp=ygUKU3VwZXIgQm93bA%3D%3D,/@NFL,NFL,49ers vs. Chiefs | Super Bowl LIV Game Highlights,15M,5 years,The San Francisco 49ers take on the Kansas City Chiefs during Super Bowl LIV in Miami. Subscribe to NFL: http://j.mp/1L0bVBu ...,2026-01-22 05:22:19.538459
Super Bowl,/shorts/f7HKGZRYZmI,/@BleacherReport,Bleacher Report,Drake when “Not Like Us” started playing 😭,1.6M,11 months,Drake watching Kendrick Lamar's halftime show at the Super Bowl #superbowl #kendricklamar.,2026-01-22 05:22:19.539792
Super Bowl,/watch?v=qNOadLIvUsw&pp=ygUKU3VwZXIgQm93bA%3D%3D,/@NFLVault,NFL Throwback,"The Legion of Boom DOMINATES! (Seahawks vs. Broncos, Super Bowl 48)",488K,11 months,Check out our other channels: NFL Mundo https://www.youtube.com/mundonfl NFL Brasil ...,2026-01-22 05:22:19.541198
Super Bowl,/watch?v=0RFXLwZV_fA&pp=ygUKU3VwZXIgQm93bA%3D%3D,/@NFL,NFL,Super Bowl XLIX: Tom Brady vs. Russell Wilson | Patriots vs. Seahawks | NFL Full Game,9.6M,9 years,"In honor of #SuperTuesday the NFL presents Super Bowl XLIX, an epic duel between Tom Brady & Russell Wilson taken place on ...",2026-01-22 05:22:19.542959
Super Bowl,/watch?v=c9cUytejf1k&list=RDc9cUytejf1k&start_radio=1&pp=ygUKU3VwZXIgQm93bKAHAQ%3D%3D,/@NFL,NFL,Coldplay's FULL Pepsi Super Bowl 50 Halftime Show feat. Beyoncé & Bruno Mars! | NFL,147M,9 years,"Check out the entire Super Bowl 50 Halftime Show, starring Coldplay, Beyonce and Bruno Mars, ending with an amazing homage ...",2026-01-22 05:22:28.797078
Super Bowl,/watch?v=qh0OyvjcJKE&list=RDqh0OyvjcJKE&start_radio=1&pp=ygUKU3VwZXIgQm93bKAHAQ%3D%3D,/@dyandraent9436,Dyandra Ent,Bruno Mars Superbowl Halftime Show 2014  Ft  Red Hot Chilli Peppers,9.8M,11 years,"Wanna see it LIVE in JAKARTA?? come to Bruno Mars ""The Moonshine Jungle Tour 2014"" March 24th at MEIS, Ancol for more ...",2026-01-22 05:22:28.798289
Super Bowl,/shorts/JgBoltWxzys,/@H1T1,John Casterline,KSI’s song played at the Super Bowl 😭,11M,11 months,,2026-01-22 05:22:28.799747
Super Bowl,/shorts/YKCbv67R_XA,/@NFLonFOX,NFL on FOX,Eagles to the Super Bowl! 🦅 #Eagles #PhiladelphiaEagles #nfl #superbowl #Commanders,329K,11 months,"NFLonFox #NFL #Eagles As we get closer to kickoff, be sure to download the FOX Sports App to stream NFL games all season ...",2026-01-22 05:22:28.800950
Super Bowl,/shorts/RSqGG6GT7lg,/@SethIsFlawed,SethIsFlawed,Top 10 most watched Super Bowl halftime shows 🏈🎤,3.8K,6 hours,These are the top 10 most viewed Super Bowl halftime shows of all time Songs: Dr. Dre - The Next Episode ft. Snoop Dogg ...,2026-01-22 05:22:28.804436
Super Bowl,/shorts/qmHFXEh9R4s,/@ECSPORTSZ,EC,Russell Wilson’s Reaction to losing Super Bowl 49￼ 😱 #shorts,433K,7 months,You know rookie of the year going to the Super Bowl the second year winning the Super Bowl third year season going great and ...,2026-01-22 05:22:28.805697
Super Bowl,/watch?v=mjrdywp5nyE&list=RDmjrdywp5nyE&start_radio=1&pp=ygUKU3VwZXIgQm93bKAHAQ%3D%3D,/channel/UCNL1ZadSjHpjm4q9j2sVtOA,Lady Gaga,Lady Gaga - Pepsi Zero Sugar Super Bowl LI Halftime Show,114M,8 years,"On Sunday, February 5th, 2017 Lady Gaga took to the Pepsi Zero Sugar Super Bowl stage for the Super Bowl LI Halftime Show, ...",2026-01-22 05:22:28.807127
Super Bowl,/shorts/b2Zq5KM2b24,/@Jovasrealm,Jova’s realm,Kendrick Lamar performs Not like us at Super Bowl 😭🙏,6.8M,11 months,"Credit : NFL SONG: Kendrick Lamar - Not like us Dialogue: Ladies, yes Dot… I wanna make a move for sure I wanna perform ...",2026-01-22 05:22:28.808363
Super Bowl,/watch?v=wBP7XCwTSyQ&pp=ygUKU3VwZXIgQm93bA%3D%3D,/@storys.meowia,Storys Meow ,Patriots are going to the Super Bowl! - Rex Ryan claims Broncos can't beat Pats with Jarrett Stidham,8.3K,15 hours,Patriots are going to the Super Bowl! - Rex Ryan claims Broncos can't beat Pats with Jarrett Stidham.,2026-01-22 05:22:28.809498
Super Bowl,/shorts/zgQhNwUsQ3I,/@ClippingW,ClippingW,Kai Cenat Reacts To Kendrick Lamar Not Like Us At The Super Bowl 💀🔥,5.9M,11 months,KaiCenatLive #kaicenat #superbowl #kendricklamar #drake #shorts #fyp #trending.,2026-01-22 05:22:28.812828
Super Bowl,/watch?v=txXwg712zw4&list=RDtxXwg712zw4&start_radio=1&pp=ygUKU3VwZXIgQm93bKAHAQ%3D%3D,/@NFL,NFL,Lady Gaga's FULL Pepsi Zero Sugar Super Bowl LI Halftime Show | NFL,80M,8 years,Watch Lady Gaga goes from the roof to the stage in one of the most acrobatic & incredible Pepsi Zero Sugar Super Bowl LI ...,2026-01-22 05:22:28.814190
Super Bowl,/watch?v=TvLeKqO1NBg&pp=ygUKU3VwZXIgQm93bA%3D%3D,/@MMG69,MMG,The Browns Super Bowl! Wheel of MUT! Ep. #37,149K,5 hours,"FINALLY BOYYYYSSS! AFTER ALL THIS TIME.... THA WHEEL OF MUT SUPAAHHH BOWLLL!!! wow, you stud - thanks for ...",2026-01-22 05:22:28.815624
Super Bowl,/watch?v=ZD1QrIe--_Y&pp=ygUKU3VwZXIgQm93bA%3D%3D,/@NFL,NFL,Katy Perry's FULL Pepsi Super Bowl XLIX Halftime Show! | Feat. Missy Elliott & Lenny Kravitz | NFL,107M,9 years,"Check out the iconic Super Bowl 49 halftime show, starring Katy Perry! Also featuring Missy Elliott and Lenny Kravitz...and Left ...",2026-01-22 05:22:28.817588
Super Bowl,/shorts/ehk8AsVP6yk,/@musicmediaco,Music Media,Kai Cenat REACTS to Super Bowl Halftime 🤯🔥,12M,11 months,"Credit: Kai Cenat , NFL , Apple Music , Kendrick Lamar We respect copyright laws and comply with takedown requests.",2026-01-22 05:22:28.821002
Super Bowl,/shorts/KSzh6mhNc48,/@ChadPrather1,Chad Prather,Here's WHY Bad Bunny Was A TERRIBLE Choice For The Super Bowl Halftime Show!,280K,3 months,Thanks For Watching! See more ➡️ https://www.watchchad.com/ The BEST Conservative Merch ...,2026-01-22 05:22:28.822302
Super Bowl,/watch?v=NEqvoCQ7Q5s&pp=ygUKU3VwZXIgQm93bA%3D%3D,/@GameDayHighlights-e5t,GameDay Highlights,Superbowl LIX FULL GAME Condensed | Eagles vs Chiefs,222K,11 months,Shop NFL and College Football Game Today: https://amzn.to/4l3SgK2 https://amzn.to/45eSMPv https://amzn.to/45ea13f ...,2026-01-22 05:22:28.823425
Super Bowl,/watch?v=-wv-6dOB4eI&pp=ygUKU3VwZXIgQm93bA%3D%3D,/@NFL,NFL,"NFL Super Bowl LIX Mic'd Up, ""Is Jalen Hurts gonna smile now?"" | Game Day All Access",4.6M,11 months,"Watch live local and primetime games, NFL RedZone, and NFL Network on Plus.NFL.com Check out our other channels: NFL ...",2026-01-22 05:22:28.824810
Super Bowl,/shorts/jSSXr4B4dnk,/channel/UCLtNLP4wxWCVUv8bSgIfNvw,Forrest Frank,ALTERNATE SUPER-BOWL SHOW?! 🤯,1.1M,3 months,,2026-01-22 05:22:28.826209
Super Bowl,/shorts/ViW6CK0BXXQ,/@NoHuddleShorts,No Huddle Shorts,Aaron Donald Retells Super Bowl Winning Plays 🐐,455K,1 year,Aaron Donald retells the two successive plays he made to stop Joe Burrow and the Bengals and lead his Los Angeles Rams to ...,2026-01-22 05:22:28.829561
Super Bowl,/watch?v=5GEtlF6Zftg&pp=ygUKU3VwZXIgQm93bNIHCQmHCgGHKiGM7w%3D%3D,/@NFL,NFL,Super Bowl XLIII: Pittsburgh Steelers vs. Arizona Cardinals | NFL Full Game,7.9M,9 years,"In honor of Super Tuesday the NFL presents, Super Bowl 43 between the Pittsburgh Steelers & Arizona Cardinals! 00:00 - Start ...",2026-01-22 05:22:37.196308
Super Bowl,/shorts/JzHJ6L3dbY8,/@TheCelebrityGossipCentral,Celebrity Gossip Central,Everyone at Super Bowl screamed ‘A MINOR’ during Kendrick Lamar’s Not Like Us 😳 #kendricklamar #nfl,2.8M,11 months,,2026-01-22 05:22:37.197012
Super Bowl,/shorts/Ys7o0sIu9oE,/@TD.Productions,TD Productions,The Next 4 Super Bowl Locations #shorts,646K,2 years,"shorts #nfl #superbowl All rights go to ESPN, Fox, CBS, NBC, Amazon, NFL Network, Universal Music Group, the NFL and it's ...",2026-01-22 05:22:37.197762
Super Bowl,/watch?v=ukjvHFzVp48&pp=ygUKU3VwZXIgQm93bA%3D%3D,/@NFL,NFL,Super Bowl 10 FULL Game: Dallas Cowboys vs. Pittsburgh Steelers,987K,5 years,NFL Game Pass is free through May! Click here for more full games! - nfl.com/gamepass Subscribe to NFL: http://j.mp/1L0bVBu ...,2026-01-22 05:22:37.198738
Super Bowl,/shorts/KdgyBslCxQs,/@Featjonn,Jonn,KENDRICK AT THE SUPERBOWL,46M,11 months,,2026-01-22 05:22:37.199454
Super Bowl,/watch?v=TvqpiUlMsB4&list=RDTvqpiUlMsB4&start_radio=1&pp=ygUKU3VwZXIgQm93bKAHAQ%3D%3D,/@jdwavvvves,JD Wavvvves,Kendrick Lamar Performs Not Like Us at Super Bowl LIX,8.1M,11 months,Kendrick Lamar Performs 'Not Like Us' at Super Bowl 59 @kendricklamar @AppleMusic @NFL.,2026-01-22 05:22:37.200175
Super Bowl,/watch?v=jQ1l5zenaKY&pp=ygUKU3VwZXIgQm93bA%3D%3D,/@NFL,NFL,Super Bowl 54 FULL Game: Kansas City Chiefs vs. San Francisco 49ers,18M,5 years,NFL Game Pass is free through May! Click here for more full games! - nfl.com/gamepass Subscribe to NFL: http://j.mp/1L0bVBu ...,2026-01-22 05:22:37.201505
Super Bowl,/shorts/R8QRDuwFsw0,/@DashawnDontPlay,DashawnDontPlay,Someone check on Drake 😭 #nfl #SuperBowl #superbowlliv #kendricklamar #drake #gnx #halftimeshow,8.1M,11 months,,2026-01-22 05:22:37.202447
Super Bowl,/shorts/u0KTjJbF_TM,/@AsanteMadrigal,Asante Madrigal,Bad Bunny’s Emotional Reason for Super Bowl Halftime Show,150K,3 months,,2026-01-22 05:22:37.203316
Super Bowl,/shorts/wlktEFHTp5U,/@jacksdiningroom1,Jack's Dining Room ,"$30,000 Super Bowl Box Experience #Super Bowl #nfl #viptickets",1.1M,11 months,,2026-01-22 05:22:37.204013
Super Bowl,/shorts/er0FnWu3qyw,/@yervakin,Yervakin Clips,Ryan Clark missed INT in the Super Bowl 🙀 (@thepivotpodcast ),1.8M,11 months,Let me tell you about my interception story in the Super Bowl CP so you know you get two weeks right every time we playing the ...,2026-01-22 05:22:37.204715
Super Bowl,/shorts/pcl8kjIKCIU,/@yahooentertainment,Yahoo Entertainment,Who chose Bad Bunny for the Super Bowl halftime show?,180K,3 months,"From sold-out stadiums in Puerto Rico to hosting “Saturday Night Live,” Bad Bunny is everywhere. Now he's headlining the 2026 ...",2026-01-22 05:22:37.205564
Super Bowl,/watch?v=Rr5AfjinpSE&list=RDRr5AfjinpSE&start_radio=1&pp=ygUKU3VwZXIgQm93bKAHAdIHCQmHCgGHKiGM7w%3D%3D,/@bklindgren,Brian Lindgren,"UNCENSORED Lyrics: Dr Dre, Snoop Dogg, Eminem, Mary J Blige, Kendrick Super Bowl Halftime Show",2.3M,3 years,"From blackballing Colin Kaepernick to racially-biased medical denial-of-compensation for Black players, the NFL has racked up a ...",2026-01-22 05:22:37.206266
Super Bowl,/shorts/voXxpStCTbM,/@SunflowrStudio,Sunflower Studio,Kendrick Lamar PERFORMS ''Not Like Us'' at the Super Bowl 🏈🔥,2.7M,11 months,"Song : Kendrick Lamar - Not Like Us Captions : but you know they love to SUE. What song? Yeah, that song. Say, DRAKE.",2026-01-22 05:22:37.207012
Super Bowl,/shorts/pIBovu8Dtk0,/@RazzaqLocks,RazzaqLocks,"How the Super Bowl streaker made me $100,000 😳💰",8.1M,1 year,,2026-01-22 05:22:37.208049
Super Bowl,/shorts/qW1gucazsmQ,/@tylertntt,Tylertsports,Eagles Unveil Super Bowl 59 Championship Rings 💍 #nfl #nfltrending #nflviral #nflfootball #eagles,148K,6 months,,2026-01-22 05:22:37.208767
Super Bowl,/watch?v=EsopN7JKUVs&list=RDEsopN7JKUVs&start_radio=1&pp=ygUKU3VwZXIgQm93bKAHAQ%3D%3D,/@universmichaeljackson685,UniversMichaelJackson,Michael Jackson - Super Bowl XXVII 1993 Halftime Show (Remastered Perfomance),52M,7 years,Video And Audio Editing by LiveMJHighDefinition Michael Jackson Super Bowl XXVII 1993 Halftime Show Performed In ...,2026-01-22 05:22:37.209615
